tss,chromosome,tss_pos,promoter,enhancer,e_count
NM_198546,chr1,16763919,chr1:16762919-16764919,chr1:16442572-16442804;chr1:17019394-17019738,2
NM_198549,chr1,78245308,chr1:78244308-78246308,chr1:77891343-77891690;chr1:78021710-78022056;chr1:78026939-78027232;chr1:78348123-78348428;chr1:78350506-78350835,5
NM_198551,chr1,222791443,chr1:222790443-222792443,chr1:222830626-222830783,1
NM_198552,chr1,231175995,chr1:231174995-231176995,NA,0
NM_198576,chr1,955502,chr1:954502-956502,chr1:956563-956812;chr1:1063914-1064111,2
NM_198681,chr1,6580121,chr1:6579121-6581121,chr1:6221566-6221669,1
NM_198926,chr1,112298419,chr1:112297419-112299419,chr1:112013331-112014031;chr1:112048437-112048734;chr1:112050044-112050594;chr1:112058803-112059167;chr1:112135698-112135869;chr1:112163826-112164071;chr1:112276731-112276883;chr1:112286281-112286588;chr1:112291453-112291811,9
NM_199044;NR_045789;NR_045790;NR_045791,chr1,46805848,chr1:46804848-46806848,NA,0
NM_199051,chr1,190447012,chr1:190446012-190448012,chr1:190157636-190157874;chr1:190286298-190286417;chr1:190678395-190678750,3
NM_199173,chr1,156211752,chr1:156210752-156212752,NA,0
NM_199342,chr1,43283059,chr1:43282059-43284059,chr1:43405621-43405821;chr1:43428386-43429108;chr1:43429290-43429917,3
NM_199344,chr1,168195254,chr1:168194254-168196254,chr1:167766380-167766616,1
NM_199351,chr1,166944561,chr1:166943561-166945561,chr1:166895888-166895941;chr1:166954369-166954473,2
NM_201403,chr1,47082563,chr1:47081563-47083563,NA,0
NM_201544,chr1,236687026,chr1:236686026-236688026,chr1:236230188-236230739;chr1:236319808-236320415;chr1:236323296-236323699;chr1:236431064-236431243;chr1:236579529-236579860,5
NM_201545,chr1,236681513,chr1:236680513-236682513,NA,0
NM_201563;NR_047648,chr1,161551128,chr1:161550128-161552128,NA,0
NM_201630,chr1,204654597,chr1:204653597-204655597,chr1:204641549-204641837;chr1:204800476-204800571;chr1:204902522-204902666;chr1:204976101-204976640;chr1:205016149-205016268,5
NM_203376,chr1,205053588,chr1:205052588-205054588,chr1:204902522-204902666;chr1:204976101-204976640;chr1:205016149-205016268;chr1:205017484-205017845;chr1:205094090-205094365;chr1:205227547-205227721;chr1:205228000-205228129;chr1:205265235-205265548;chr1:205288770-205288915;chr1:205442172-205442546;chr1:205466653-205467067;chr1:205510005-205510378,12
NM_203399,chr1,26233368,chr1:26232368-26234368,chr1:26081315-26081453;chr1:26249033-26249281,2
NM_203401,chr1,26232644,chr1:26231644-26233644,chr1:26081315-26081453;chr1:26249033-26249281,2
NM_203404,chr1,110168048,chr1:110167048-110169048,chr1:110160052-110160461;chr1:110429456-110429734,2
NM_203412,chr1,110655061,chr1:110654061-110656061,chr1:110420039-110420145;chr1:110711375-110711549,2
NM_203454,chr1,183622448,chr1:183621448-183623448,chr1:183936673-183936825,1
NM_203458,chr1,145209112,chr1:145208112-145210112,chr1:144871122-144871347;chr1:144908312-144908601;chr1:144908806-144909147;chr1:144927217-144927550;chr1:144986415-144987071;chr1:144987154-144987391;chr1:144988079-144988414;chr1:145009158-145009716;chr1:145012331-145013054;chr1:145023690-145024549;chr1:145042783-145043227;chr1:145054975-145055306;chr1:145058996-145059322;chr1:145090155-145090603;chr1:145113904-145114998;chr1:145189239-145189416;chr1:145195834-145196197;chr1:145226678-145226829;chr1:145433530-145433648;chr1:145454760-145454851;chr1:145455122-145455741,21
NM_203464,chr1,65613231,chr1:65612231-65614231,NA,0
NM_205768,chr1,244214560,chr1:244213560-244215560,chr1:244349815-244349940;chr1:244354917-244355201;chr1:244358533-244358670,3
NM_205848,chr1,114695062,chr1:114694062-114696062,NA,0
NM_206594;NM_206595,chr1,217262987,chr1:217261987-217263987,chr1:216774004-216774285,1
NM_206886,chr1,93646272,chr1:93645272-93647272,chr1:93694062-93694249,1
NM_206996,chr1,118727892,chr1:118726892-118728892,NA,0
NM_207045;NM_207046;NM_207047,chr1,150601609,chr1:150600609-150602609,NA,0
NM_207171,chr1,151414681,chr1:151413681-151415681,chr1:150949569-150950014;chr1:151172142-151172526,2
NM_207334,chr1,20878931,chr1:20877931-20879931,NA,0
NM_207348,chr1,16062808,chr1:16061808-16063808,chr1:16342592-16343008,1
NM_207356,chr1,3816857,chr1:3815857-3817857,chr1:3590266-3590494,1
NM_207370,chr1,6321035,chr1:6320035-6322035,chr1:6336471-6336830;chr1:6341896-6342142;chr1:6350184-6350543;chr1:6351007-6351537;chr1:6354110-6354322;chr1:6362597-6362955;chr1:6373523-6373899,7
NM_207396,chr1,6266188,chr1:6265188-6267188,NA,0
NM_207398,chr1,89641723,chr1:89640723-89642723,NA,0
NM_207401,chr1,247275719,chr1:247274719-247276719,NA,0
NM_207418,chr1,143913143,chr1:143912143-143914143,NA,0
NM_207420,chr1,9086404,chr1:9085404-9087404,NA,0
NM_207421,chr1,17698690,chr1:17697690-17699690,NA,0
NM_207468;NR_136691,chr1,222910557,chr1:222909557-222911557,NA,0
NM_212551,chr1,151138370,chr1:151137370-151139370,chr1:151172142-151172526,1
NM_213651,chr1,108735431,chr1:108734431-108736431,NA,0
NR_000006,chr1,93302845,chr1:93301845-93303845,NA,0
NR_000015,chr1,45241536,chr1:45240536-45242536,NA,0
NR_000024,chr1,45242163,chr1:45241163-45243163,NA,0
NR_001456,chr1,45243513,chr1:45242513-45244513,NA,0
NR_001457,chr1,45244061,chr1:45243061-45245061,NA,0
NR_001560,chr1,157098153,chr1:157097153-157099153,NA,0
NR_001587,chr1,220441057,chr1:220440057-220442057,NA,0
NR_002141,chr1,248285437,chr1:248284437-248286437,NA,0
NR_002145,chr1,248153568,chr1:248152568-248154568,NA,0
NR_002188,chr1,155197325,chr1:155196325-155198325,NA,0
NR_002190,chr1,160287054,chr1:160286054-160288054,NA,0
NR_002227,chr1,231954263,chr1:231953263-231955263,NA,0
NR_002305,chr1,146649429,chr1:146648429-146650429,NA,0
NR_002314,chr1,53905693,chr1:53904693-53906693,NA,0
NR_002315,chr1,226250427,chr1:226249427-226251427,NA,0
NR_002328,chr1,145516076,chr1:145515076-145517076,NA,0
NR_002444,chr1,93306275,chr1:93305275-93307275,NA,0
NR_002578,chr1,173837125,chr1:173836125-173838125,NA,0
NR_002579,chr1,173836883,chr1:173835883-173837883,NA,0
NR_002595,chr1,161655042,chr1:161654042-161656042,NA,0
NR_002601,chr1,171106878,chr1:171105878-171107878,NA,0
NR_002719,chr1,171308034,chr1:171307034-171309034,NA,0
NR_002746,chr1,173833583,chr1:173832583-173834583,NA,0
NR_002748,chr1,76255161,chr1:76254161-76256161,NA,0
NR_002749,chr1,76253573,chr1:76252573-76254573,NA,0
NR_002750,chr1,173835166,chr1:173834166-173836166,NA,0
NR_002753,chr1,220046618,chr1:220045618-220047618,NA,0
NR_002771,chr1,64014650,chr1:64013650-64015650,NA,0
NR_002788,chr1,47366147,chr1:47365147-47367147,NA,0
NR_002796,chr1,113465971,chr1:113464971-113466971,NA,0
NR_002830,chr1,90460525,chr1:90459525-90461525,NA,0
NR_002834,chr1,228780656,chr1:228779656-228781656,NA,0
NR_002925,chr1,166573152,chr1:166572152-166574152,NA,0
NR_002929,chr1,202830881,chr1:202829881-202831881,NA,0
NR_002930,chr1,202137178,chr1:202136178-202138178,NA,0
NR_002946,chr1,1568158,chr1:1567158-1569158;chr1:1630377-1632377,NA,0
NR_002946,chr1,1631377,chr1:1567158-1569158;chr1:1630377-1632377,NA,0
NR_002956,chr1,235291252,chr1:235290252-235292252,NA,0
NR_002974,chr1,155889833,chr1:155888833-155890833,NA,0
NR_002976,chr1,28907024,chr1:28906024-28908024,NA,0
NR_002983,chr1,40033182,chr1:40032182-40034182,NA,0
NR_002987,chr1,28906405,chr1:28905405-28907405,NA,0
NR_002994,chr1,220374018,chr1:220373018-220375018,NA,0
NR_002997,chr1,28160911,chr1:28159911-28161911,NA,0
NR_002998,chr1,175937676,chr1:175936676-175938676,NA,0
NR_003005,chr1,155895877,chr1:155894877-155896877,NA,0
NR_003019,chr1,203698708,chr1:203697708-203699708,NA,0
NR_003022;NR_003025,chr1,12567299,chr1:12566299-12568299,NA,0
NR_003022;NR_003025,chr1,19460872,chr1:12566299-12568299,NA,0
NR_003023,chr1,109642814,chr1:109641814-109643814,NA,0
NR_003035,chr1,28907565,chr1:28906565-28908565,NA,0
NR_003042,chr1,76252756,chr1:76251756-76253756,NA,0
NR_003062,chr1,153113969,chr1:153112969-153114969,NA,0
NR_003066,chr1,31441084,chr1:31440084-31442084,NA,0
NR_003077,chr1,28905334,chr1:28904334-28906334,NA,0
NR_003133,chr1,89873237,chr1:89872237-89874237,NA,0
NR_003242,chr1,144612719,chr1:144611719-144613719,NA,0
NR_003599,chr1,111023387,chr1:111022387-111024387,NA,0
NR_003927,chr1,84850484,chr1:84849484-84851484,NA,0
NR_003928,chr1,111823145,chr1:111822145-111824145,NA,0
NR_003929;NR_144354;NR_144355;NR_144356;NR_144357,chr1,40025370,chr1:40024370-40026370,NA,0
NR_003938,chr1,173833360,chr1:173832360-173834360,NA,0
NR_003939,chr1,173834568,chr1:173833568-173835568,NA,0
NR_003940,chr1,173834041,chr1:173833041-173835041,NA,0
NR_003941,chr1,173836076,chr1:173835076-173837076,NA,0
NR_003942,chr1,173835853,chr1:173834853-173836853,NA,0
NR_003943,chr1,173835508,chr1:173834508-173836508,NA,0
NR_003944,chr1,173834824,chr1:173833824-173835824,NA,0
NR_003955,chr1,121260909,chr1:121259909-121261909,NA,0
NR_004054;NR_033295,chr1,31408623,chr1:31407623-31409623;chr1:31421052-31423052,NA,0
NR_004054;NR_033295,chr1,31422052,chr1:31407623-31409623;chr1:31421052-31423052,NA,0
NR_004389,chr1,212526159,chr1:212525159-212527159,NA,0
NR_004404,chr1,28835069,chr1:28834069-28836069,NA,0
NR_004407,chr1,28975111,chr1:28974111-28976111,NA,0
NR_015407,chr1,238649317,chr1:238648317-238650317,NA,0
NR_015422,chr1,246952918,chr1:246951918-246953918,NA,0
NR_015434,chr1,1334909,chr1:1333909-1335909,NA,0
NR_015440;NR_024371,chr1,2984289,chr1:2983289-2985289,NA,0
NR_023386,chr1,16819196,chr1:16818196-16820196,NA,0
NR_023916,chr1,70385004,chr1:70384004-70386004,NA,0
NR_023918,chr1,22351683,chr1:22350683-22352683,NA,0
NR_023919;NR_109759;NR_109760;NR_109761;NR_109762,chr1,22351996,chr1:22350996-22352996,NA,0
NR_024113,chr1,85725355,chr1:85724355-85726355,NA,0
NR_024117,chr1,155579978,chr1:155578978-155580978;chr1:155714558-155716558,NA,0
NR_024117,chr1,155715558,chr1:155578978-155580978;chr1:155714558-155716558,NA,0
NR_024124;NR_027645,chr1,116961197,chr1:116960197-116962197,NA,0
NR_024125,chr1,116961205,chr1:116960205-116962205,NA,0
NR_024126,chr1,116961181,chr1:116960181-116962181,NA,0
NR_024127;NR_146381;NR_146383;NR_146384;NR_146385;NR_146386;NR_146387,chr1,28908385,chr1:28907385-28909385,NA,0
NR_024151,chr1,161575848,chr1:161574848-161576848,NA,0
NR_024160,chr1,168756178,chr1:168755178-168757178,NA,0
NR_024163,chr1,154947117,chr1:154946117-154948117,NA,0
NR_024236,chr1,221509638,chr1:221508638-221510638,NA,0
NR_024237,chr1,151810944,chr1:151809944-151811944,NA,0
NR_024270,chr1,45769581,chr1:45768581-45770581,NA,0
NR_024279,chr1,16174642,chr1:16173642-16175642,NA,0
NR_024321,chr1,762902,chr1:761902-763902,NA,0
NR_024337,chr1,210407466,chr1:210406466-210408466,NA,0
NR_024438,chr1,104112025,chr1:104111025-104113025,NA,0
NR_024442,chr1,146514599,chr1:146513599-146515599,NA,0
NR_024455,chr1,3816967,chr1:3815967-3817967,NA,0
NR_024489,chr1,2284100,chr1:2283100-2285100,NA,0
NR_024498,chr1,26150097,chr1:26149097-26151097,NA,0
NR_024510;NR_024511;NR_109754,chr1,144340759,chr1:144339759-144341759;chr1:149575466-149577466,NA,0
NR_024510;NR_024511;NR_109754,chr1,149576466,chr1:144339759-144341759;chr1:149575466-149577466,NA,0
NR_024537,chr1,110283660,chr1:110282660-110284660,NA,0
NR_024540,chr1,29370,chr1:28370-30370,NA,0
NR_024567,chr1,41157933,chr1:41156933-41158933,NA,0
NR_024584,chr1,144341756,chr1:144340756-144342756;chr1:149574481-149576481,NA,0
NR_024584,chr1,149575481,chr1:144340756-144342756;chr1:149574481-149576481,NA,0
NR_024604,chr1,87099958,chr1:87098958-87100958,NA,0
NR_026546,chr1,76398116,chr1:76397116-76399116,NA,0
NR_026550,chr1,167905439,chr1:167904439-167906439,NA,0
NR_026567,chr1,17046652,chr1:17045652-17047652,NA,0
NR_026665,chr1,117113715,chr1:117112715-117114715,NA,0
NR_026667,chr1,201489031,chr1:201488031-201490031,NA,0
NR_026678,chr1,156252703,chr1:156251703-156253703,NA,0
NR_026744,chr1,165551392,chr1:165550392-165552392,NA,0
NR_026749,chr1,48648100,chr1:48647100-48649100,NA,0
NR_026752,chr1,16957401,chr1:16956401-16958401,NA,0
NR_026761,chr1,211556096,chr1:211555096-211557096,NA,0
NR_026768,chr1,46112357,chr1:46111357-46113357,NA,0
NR_026817,chr1,207991723,chr1:207990723-207992723,NA,0
NR_026818;NR_026820,chr1,36081,chr1:35081-37081,NA,0
NR_026818;NR_026820,chr1,77690,chr1:35081-37081,NA,0
NR_026844,chr1,168216668,chr1:168215668-168217668,NA,0
NR_026850,chr1,32707311,chr1:32706311-32708311,NA,0
NR_026874;NR_122045,chr1,855072,chr1:854072-856072,NA,0
NR_026878,chr1,47900313,chr1:47899313-47901313,NA,0
NR_026900,chr1,180167143,chr1:180166143-180168143,NA,0
NR_026957,chr1,170253349,chr1:170252349-170254349,NA,0
NR_026985;NR_026986;NR_026987,chr1,87597608,chr1:87596608-87598608,NA,0
NR_026988;NR_026989,chr1,87595447,chr1:87594447-87596447,NA,0
NR_027022,chr1,204338847,chr1:204337847-204339847,NA,0
NR_027045,chr1,9714644,chr1:9713644-9715644,NA,0
NR_027055,chr1,812182,chr1:811182-813182,NA,0
NR_027085,chr1,31984035,chr1:31983035-31985035,NA,0
NR_027086,chr1,205525763,chr1:205524763-205526763,NA,0
NR_027087,chr1,24526729,chr1:24525729-24527729,NA,0
NR_027088,chr1,4472110,chr1:4471110-4473110,NA,0
NR_027120,chr1,59612479,chr1:59611479-59613479,NA,0
NR_027136,chr1,15478960,chr1:15477960-15479960,NA,0
NR_027247,chr1,238025474,chr1:238024474-238026474,NA,0
NR_027285;NR_027286,chr1,213031480,chr1:213030480-213032480,NA,0
NR_027309,chr1,247694106,chr1:247693106-247695106,NA,0
NR_027310,chr1,78695282,chr1:78694282-78696282,NA,0
NR_027337,chr1,120906033,chr1:120905033-120907033,NA,0
NR_027354,chr1,148930404,chr1:148929404-148931404,NA,0
NR_027355;NR_027356,chr1,148928312,chr1:148927312-148929312,NA,0
NR_027379,chr1,85100703,chr1:85099703-85101703,NA,0
NR_027468;NR_104014,chr1,143744519,chr1:143743519-143745519,NA,0
NR_027484,chr1,149369293,chr1:149368293-149370293,NA,0
NR_027504,chr1,16972068,chr1:16971068-16973068,NA,0
NR_027646,chr1,116961244,chr1:116960244-116962244,NA,0
NR_027902,chr1,204010392,chr1:204009392-204011392,NA,0
NR_027962,chr1,75198861,chr1:75197861-75199861,NA,0
NR_027982,chr1,178063128,chr1:178062128-178064128,NA,0
NR_028103;NR_028104;NR_028105,chr1,160232318,chr1:160231318-160233318,NA,0
NR_028106,chr1,160232277,chr1:160231277-160233277,NA,0
NR_028322;NR_028325;NR_028327,chr1,323891,chr1:322891-324891,NA,0
NR_028322;NR_028325;NR_028327,chr1,180750506,chr1:322891-324891,NA,0
NR_028327,chr1,665731,chr1:664731-666731,NA,0
NR_028393;NR_028394;NR_028395;NR_028396;NR_028397;NR_028398;NR_028399;NR_028400,chr1,231664398,chr1:231663398-231665398,NA,0
NR_029401,chr1,243265046,chr1:243264046-243266046,NA,0
NR_029429,chr1,111932473,chr1:111931473-111933473,NA,0
NR_029467,chr1,169677997,chr1:169676997-169678997,NA,0
NR_029516,chr1,65524191,chr1:65523191-65525191,NA,0
NR_029518,chr1,207975868,chr1:207974868-207976868,NA,0
NR_029583,chr1,110141514,chr1:110140514-110142514,NA,0
NR_029610,chr1,9211836,chr1:9210836-9212836,NA,0
NR_029612,chr1,198828111,chr1:198827111-198829111,NA,0
NR_029618,chr1,172113784,chr1:172112784-172114784,NA,0
NR_029622,chr1,209605477,chr1:209604477-209606477,NA,0
NR_029626,chr1,198828282,chr1:198827282-198829282,NA,0
NR_029627,chr1,172108047,chr1:172107047-172109047,NA,0
NR_029628,chr1,220291304,chr1:220290304-220292304,NA,0
NR_029639,chr1,1102483,chr1:1101483-1103483,NA,0
NR_029679,chr1,98511727,chr1:98510727-98512727,NA,0
NR_029691,chr1,156390221,chr1:156389221-156391221,NA,0
NR_029707,chr1,71533399,chr1:71532399-71534399,NA,0
NR_029711,chr1,220291583,chr1:220290583-220292583,NA,0
NR_029832,chr1,207975284,chr1:207974284-207976284,NA,0
NR_029833,chr1,41222955,chr1:41221955-41223955,NA,0
NR_029834,chr1,1103242,chr1:1102242-1104242,NA,0
NR_029846,chr1,41220026,chr1:41219026-41221026,NA,0
NR_029893,chr1,205417526,chr1:205416526-205418526,NA,0
NR_029957,chr1,1104384,chr1:1103384-1105384,NA,0
NR_030163,chr1,176998581,chr1:176997581-176999581,NA,0
NR_030277,chr1,3477354,chr1:3476354-3478354,NA,0
NR_030278,chr1,35135295,chr1:35134295-35136295,NA,0
NR_030279,chr1,100746796,chr1:100745796-100747796,NA,0
NR_030280,chr1,151518271,chr1:151517271-151519271,NA,0
NR_030281,chr1,155164967,chr1:155163967-155165967,NA,0
NR_030282,chr1,155316236,chr1:155315236-155317236,NA,0
NR_030283,chr1,162312335,chr1:162311335-162313335,NA,0
NR_030284,chr1,168344761,chr1:168343761-168345761,NA,0
NR_030527,chr1,156906036,chr1:156905036-156907036,NA,0
NR_030600,chr1,154166219,chr1:154165219-154167219,NA,0
NR_030621,chr1,94312387,chr1:94311387-94313387,NA,0
NR_030626,chr1,166124035,chr1:166123035-166125035,NA,0
NR_030640,chr1,117637264,chr1:117636264-117638264,NA,0
NR_030761,chr1,93646246,chr1:93645246-93647246,NA,0
NR_030775,chr1,201857796,chr1:201856796-201858796,NA,0
NR_031564,chr1,117214370,chr1:117213370-117215370,NA,0
NR_031574,chr1,224444843,chr1:224443843-224445843,NA,0
NR_031580,chr1,52302074,chr1:52301074-52303074,NA,0
NR_031593,chr1,231155670,chr1:231154670-231156670,NA,0
NR_031599,chr1,201777738,chr1:201776738-201778738,NA,0
NR_031622,chr1,19223642,chr1:19222642-19224642,NA,0
NR_031627,chr1,171070947,chr1:171069947-171071947,NA,0
NR_031644,chr1,109849616,chr1:218609974-218611974,NA,0
NR_031644,chr1,218610974,chr1:218609974-218611974,NA,0
NR_031657,chr1,21314925,chr1:21313925-21315925,NA,0
NR_031664,chr1,68649293,chr1:68648293-68650293,NA,0
NR_031691,chr1,193105632,chr1:193104632-193106632,NA,0
NR_031702,chr1,167967897,chr1:167966897-167968897,NA,0
NR_031705,chr1,220373961,chr1:220372961-220374961,NA,0
NR_031718,chr1,236016360,chr1:236015360-236017360,NA,0
NR_031740,chr1,26881032,chr1:26880032-26882032,NA,0
NR_033183,chr1,1550794,chr1:1549794-1551794,NA,0
NR_033184;NR_102302,chr1,227751219,chr1:227750219-227752219,NA,0
NR_033186,chr1,178511930,chr1:178510930-178512930,NA,0
NR_033296;NR_033297;NR_033298,chr1,45965751,chr1:45964751-45966751,NA,0
NR_033385;NR_033386,chr1,161068150,chr1:161067150-161069150,NA,0
NR_033424,chr1,102337567,chr1:102336567-102338567,NA,0
NR_033686,chr1,32110838,chr1:32109838-32111838,NA,0
NR_033688,chr1,32110218,chr1:32109218-32111218,NA,0
NR_033690,chr1,23695463,chr1:23694463-23696463,NA,0
NR_033691,chr1,23695710,chr1:23694710-23696710,NA,0
NR_033708;NR_033709;NR_033710;NR_033711,chr1,3663937,chr1:3662937-3664937,NA,0
NR_033712,chr1,3663335,chr1:3662335-3664335,NA,0
NR_033781,chr1,120106502,chr1:120105502-120107502,NA,0
NR_033826,chr1,231612271,chr1:231611271-231613271,NA,0
NR_033827,chr1,44173012,chr1:44172012-44174012,NA,0
NR_033883,chr1,244080703,chr1:244079703-244081703,NA,0
NR_033887,chr1,20755287,chr1:20754287-20756287,NA,0
NR_033908,chr1,714068,chr1:713068-715068,NA,0
NR_033922,chr1,190594019,chr1:190593019-190595019,NA,0
NR_033926,chr1,27650364,chr1:27649364-27651364,NA,0
NR_033927,chr1,234765056,chr1:234764056-234766056,NA,0
NR_033940,chr1,99469831,chr1:99468831-99470831,NA,0
NR_033946,chr1,158110430,chr1:158109430-158111430,NA,0
NR_033966,chr1,95940292,chr1:95939292-95941292,NA,0
NR_033967,chr1,43424719,chr1:43423719-43425719,NA,0
NR_033981,chr1,90098453,chr1:90097453-90099453,NA,0
NR_033990,chr1,104615644,chr1:104614644-104616644,NA,0
NR_033998,chr1,95393583,chr1:95392583-95394583,NA,0
NR_034014;NR_034015;NR_108106,chr1,59250822,chr1:59249822-59251822,NA,0
NR_034037,chr1,231747836,chr1:231746836-231748836,NA,0
NR_034040,chr1,236687808,chr1:236686808-236688808,NA,0
NR_034089,chr1,93811368,chr1:93810368-93812368,NA,0
NR_034091,chr1,94057524,chr1:94056524-94058524,NA,0
NR_034112,chr1,31971838,chr1:31970838-31972838,NA,0
NR_034126,chr1,112150940,chr1:112149940-112151940,NA,0
NR_034131,chr1,182376755,chr1:182375755-182377755,NA,0
NR_034150;NR_034151,chr1,203274453,chr1:203273453-203275453,NA,0
NR_034168;NR_049777,chr1,109399838,chr1:109398838-109400838,NA,0
NR_034180,chr1,155402970,chr1:155401970-155403970,NA,0
NR_034182,chr1,31191618,chr1:31190618-31192618,NA,0
NR_036051;NR_036266;NR_036267;NR_036268,chr1,30143,chr1:29365-31365,NA,0
NR_036051;NR_036266;NR_036267;NR_036268,chr1,30365,chr1:29365-31365,NA,0
NR_036051;NR_036266;NR_036267;NR_036268,chr1,71972,chr1:29365-31365,NA,0
NR_036051;NR_036266;NR_036267;NR_036268,chr1,102500799,chr1:29365-31365,NA,0
NR_036057,chr1,23370797,chr1:23369797-23371797,NA,0
NR_036058,chr1,62544457,chr1:62543457-62545457,NA,0
NR_036059,chr1,62544528,chr1:62543528-62545528,NA,0
NR_036060,chr1,67094122,chr1:67093122-67095122,NA,0
NR_036064,chr1,170120603,chr1:170119603-170121603,NA,0
NR_036065,chr1,170120518,chr1:170119518-170121518,NA,0
NR_036066,chr1,172107947,chr1:172106947-172108947,NA,0
NR_036067,chr1,180407525,chr1:180406525-180408525,NA,0
NR_036068,chr1,212250954,chr1:212249954-212251954,NA,0
NR_036069,chr1,241295571,chr1:241294571-241296571,NA,0
NR_036070,chr1,249120575,chr1:249119575-249121575,NA,0
NR_036210,chr1,113004455,chr1:113003455-113005455,NA,0
NR_036211,chr1,150524404,chr1:150523404-150525404,NA,0
NR_036212,chr1,154948168,chr1:154947168-154949168,NA,0
NR_036213,chr1,209796855,chr1:209795855-209797855,NA,0
NR_036214,chr1,23189719,chr1:23188719-23190719,NA,0
NR_036215,chr1,3044538,chr1:3043538-3045538,NA,0
NR_036216,chr1,32224336,chr1:32223336-32225336,NA,0
NR_036217,chr1,37627163,chr1:37626163-37628163,NA,0
NR_036218,chr1,6489956,chr1:6488956-6490956,NA,0
NR_036437,chr1,110753335,chr1:110752335-110754335,NA,0
NR_036461,chr1,149822340,chr1:149821340-149823340,NA,0
NR_036490,chr1,182584274,chr1:182583274-182585274,NA,0
NR_036540,chr1,120141914,chr1:120140914-120142914,NA,0
NR_036557,chr1,202976393,chr1:202975393-202977393,NA,0
NR_036564;NR_036565,chr1,156308206,chr1:156307206-156309206,NA,0
NR_036595,chr1,110881793,chr1:110880793-110882793,NA,0
NR_036605,chr1,235491868,chr1:235490868-235492868,NA,0
NR_036634,chr1,92351836,chr1:92350836-92352836,NA,0
NR_036637;NR_036638,chr1,2517898,chr1:2516898-2518898,NA,0
NR_036639;NR_036640,chr1,54355487,chr1:54354487-54356487,NA,0
NR_036683,chr1,165667986,chr1:165666986-165668986,NA,0
NR_036695,chr1,240170823,chr1:240169823-240171823,NA,0
NR_036753,chr1,227885408,chr1:227884408-227886408,NA,0
NR_037163,chr1,167190122,chr1:167189122-167191122,NA,0
NR_037167,chr1,178007142,chr1:178006142-178008142,NA,0
NR_037400,chr1,33798093,chr1:33797093-33799093,NA,0
NR_037415,chr1,228284963,chr1:228283963-228285963,NA,0
NR_037431,chr1,165877157,chr1:165876157-165878157,NA,0
NR_037432,chr1,38554902,chr1:38553902-38555902,NA,0
NR_037443,chr1,65523525,chr1:65522525-65524525,NA,0
NR_037446,chr1,16875408,chr1:16874408-16876408;chr1:17006749-17008749;chr1:17184516-17186516,NA,0
NR_037446,chr1,17007749,chr1:16874408-16876408;chr1:17006749-17008749;chr1:17184516-17186516,NA,0
NR_037446,chr1,17185516,chr1:16874408-16876408;chr1:17006749-17008749;chr1:17184516-17186516,NA,0
NR_037480,chr1,247365362,chr1:247364362-247366362,NA,0
NR_037481,chr1,26232945,chr1:26231945-26233945,NA,0
NR_037516,chr1,100154610,chr1:100153610-100155610,NA,0
NR_037576;NR_037577;NR_037580,chr1,27648635,chr1:27647635-27649635,NA,0
NR_037605,chr1,173832385,chr1:173831385-173833385,NA,0
NR_037633;NR_037634;NR_037635;NR_037636;NR_037637,chr1,39347298,chr1:39346298-39348298,NA,0
NR_037642,chr1,180243816,chr1:180242816-180244816,NA,0
NR_037663;NR_037664,chr1,202130716,chr1:202129716-202131716,NA,0
NR_037667,chr1,212209002,chr1:212208002-212210002,NA,0
NR_037806,chr1,11900375,chr1:11899375-11901375,NA,0
NR_037844,chr1,2488450,chr1:2487450-2489450,NA,0
NR_037845,chr1,173446294,chr1:173445294-173447294,NA,0
NR_037847,chr1,19622230,chr1:19621230-19623230,NA,0
NR_037850,chr1,214159496,chr1:214158496-214160496,NA,0
NR_037851,chr1,168391894,chr1:168390894-168392894,NA,0
NR_037864,chr1,114399256,chr1:114398256-114400256,NA,0
NR_037868,chr1,41480261,chr1:41479261-41481261,NA,0
NR_037869,chr1,35444307,chr1:35443307-35445307,NA,0
NR_037870,chr1,159172212,chr1:159171212-159173212,NA,0
NR_037892,chr1,247171395,chr1:247170395-247172395,NA,0
NR_037894,chr1,247242115,chr1:247241115-247243115,NA,0
NR_037937,chr1,151138497,chr1:151137497-151139497,NA,0
NR_037962,chr1,228780393,chr1:228779393-228781393,NA,0
NR_038072,chr1,164743878,chr1:164742878-164744878,NA,0
NR_038135,chr1,202789384,chr1:202788384-202790384,NA,0
NR_038252,chr1,63782928,chr1:63781928-63783928,NA,0
NR_038260,chr1,42384496,chr1:42383496-42385496,NA,0
NR_038261,chr1,42501596,chr1:42500596-42502596,NA,0
NR_038280,chr1,24104787,chr1:24103787-24105787,NA,0
NR_038320,chr1,55681080,chr1:55680080-55682080,NA,0
NR_038324,chr1,87837338,chr1:87836338-87838338,NA,0
NR_038351,chr1,8938893,chr1:8937893-8939893,NA,0
NR_038372,chr1,34334556,chr1:34333556-34335556,NA,0
NR_038397;NR_103486,chr1,172113975,chr1:172112975-172114975,NA,0
NR_038403,chr1,47004367,chr1:47003367-47005367,NA,0
NR_038404,chr1,21619782,chr1:21618782-21620782,NA,0
NR_038420,chr1,71512188,chr1:71511188-71513188,NA,0
NR_038423,chr1,146989699,chr1:146988699-146990699,NA,0
NR_038424,chr1,185304171,chr1:185303171-185305171,NA,0
NR_038425,chr1,205342379,chr1:205341379-205343379,NA,0
