enhancer,tss,gene
chr1:26642014-26642169,NM_001803,CD52
chr1:26642014-26642169,NM_001099626,FAM54B
chr1:26642014-26642169,NM_005517,HMGN2
chr1:26642014-26642169,NM_001006665,RPS6KA1
chr1:26642014-26642169,NM_031286,SH3BGRL3
chr1:26642014-26642169,NM_001077262;NM_183008;NM_145345,UBXN11
chr1:26677301-26677628,NM_198137,CATSPER4
chr1:26677301-26677628,NM_001114759;NM_173574,ZNF683
chr1:26678060-26678317,NM_001039775,AIM1L
chr1:26678060-26678317,NM_006314,CNKSR1
chr1:26683687-26684084,NM_001039775,AIM1L
chr1:26683687-26684084,NM_006314,CNKSR1
chr1:26827232-26827869,NM_006015;NM_139135,ARID1A
chr1:26827232-26827869,NM_022778,CEP85
chr1:26827232-26827869,NM_022078,GPATCH3
chr1:26827232-26827869,NM_152835,PDIK1L
chr1:26827232-26827869,NM_001006665,RPS6KA1
chr1:26827232-26827869,NM_001077262;NM_183008,UBXN11
chr1:26907360-26907709,NM_017837,PIGV
chr1:26907360-26907709,NM_031286,SH3BGRL3
chr1:26907360-26907709,NM_001077262;NM_183008;NM_145345,UBXN11
chr1:26907862-26908015,NM_031286,SH3BGRL3
chr1:26907862-26908015,NM_001077262;NM_183008,UBXN11
chr1:26909250-26909546,NM_017837,PIGV
chr1:26909250-26909546,NM_031286,SH3BGRL3
chr1:26909250-26909546,NM_001077262;NM_183008;NM_145345,UBXN11
chr1:26933734-26933982,NM_017837,PIGV
chr1:26933734-26933982,NM_031286,SH3BGRL3
chr1:26933734-26933982,NM_001077262;NM_183008;NM_145345,UBXN11
chr1:26946837-26947249,NM_006015;NM_139135,ARID1A
chr1:26946837-26947249,NM_198137,CATSPER4
chr1:26946837-26947249,NM_022078,GPATCH3
chr1:26946837-26947249,NM_017837,PIGV
chr1:26946837-26947249,NM_001077262;NM_183008;NM_145345,UBXN11
chr1:26947342-26948198,NM_006015;NM_139135,ARID1A
chr1:26947342-26948198,NM_022078,GPATCH3
chr1:26947342-26948198,NM_017837,PIGV
chr1:26947342-26948198,NM_001006665,RPS6KA1
chr1:26947342-26948198,NM_031286,SH3BGRL3
chr1:26947342-26948198,NM_001077262;NM_183008;NM_145345,UBXN11
chr1:26947342-26948198,NM_032283,ZDHHC18
chr1:27024638-27025138,NM_006015;NM_139135,ARID1A
chr1:27024638-27025138,NM_022778,CEP85
chr1:27024638-27025138,NM_022078,GPATCH3
chr1:27024638-27025138,NM_018066,GPN2
chr1:27024638-27025138,NM_017837,PIGV
chr1:27024638-27025138,NM_003047,SLC9A1
chr1:27112764-27112917,NM_006015;NM_139135,ARID1A
chr1:27112764-27112917,NM_001006665,RPS6KA1
chr1:27112764-27112917,NM_003047,SLC9A1
chr1:27112764-27112917,NM_015023,WDTC1
chr1:27112764-27112917,NM_032283,ZDHHC18
chr1:27112764-27112917,NM_001114759;NM_173574,ZNF683
chr1:27154485-27154771,NM_006015;NM_139135,ARID1A
chr1:27154485-27154771,NM_017837,PIGV
chr1:27154485-27154771,NM_001006665,RPS6KA1
chr1:27154485-27154771,NM_003047,SLC9A1
chr1:27154485-27154771,NM_015023,WDTC1
chr1:27154485-27154771,NM_032283,ZDHHC18
chr1:27154983-27155478,NM_006015;NM_139135,ARID1A
chr1:27154983-27155478,NM_017837,PIGV
chr1:27154983-27155478,NM_001006665,RPS6KA1
chr1:27154983-27155478,NM_003047,SLC9A1
chr1:27154983-27155478,NM_015023,WDTC1
chr1:27154983-27155478,NM_032283,ZDHHC18
chr1:27160002-27160387,NM_006015;NM_139135,ARID1A
chr1:27160002-27160387,NM_017837,PIGV
chr1:27160002-27160387,NM_001006665,RPS6KA1
chr1:27160002-27160387,NM_003047,SLC9A1
chr1:27160002-27160387,NM_015023,WDTC1
chr1:27160002-27160387,NM_032283,ZDHHC18
chr1:27175784-27176273,NM_001039775,AIM1L
chr1:27175784-27176273,NM_152365,C1orf172
chr1:27175784-27176273,NM_002953,RPS6KA1
chr1:27175784-27176273,NM_006142,SFN
chr1:27175784-27176273,NM_001114759;NM_173574,ZNF683
chr1:27184739-27184972,NM_002953,RPS6KA1
chr1:27184739-27184972,NM_006142,SFN
chr1:27184739-27184972,NM_032283,ZDHHC18
chr1:27185457-27185720,NM_152365,C1orf172
chr1:27185457-27185720,NM_002953,RPS6KA1
chr1:27185457-27185720,NM_006142,SFN
chr1:27185755-27186143,NM_152365,C1orf172
chr1:27185755-27186143,NM_002953,RPS6KA1
chr1:27185755-27186143,NM_006142,SFN
chr1:27185755-27186143,NM_001114759;NM_173574,ZNF683
chr1:27191386-27191927,NM_152365,C1orf172
chr1:27191386-27191927,NM_052943,FAM46B
chr1:27191386-27191927,NM_018066,GPN2
chr1:27191386-27191927,NM_005517,HMGN2
chr1:27191386-27191927,NM_006600,NUDC
chr1:27191386-27191927,NM_002953,RPS6KA1
chr1:27191386-27191927,NM_006142,SFN
chr1:27321452-27321840,NM_052943,FAM46B
chr1:27321452-27321840,NM_032125,TMEM222
chr1:27321452-27321840,NM_001013642,TRNP1
chr1:27353661-27353962,NM_004672,MAP3K6
chr1:27353661-27353962,NM_032125,TMEM222
chr1:27353661-27353962,NM_001013642,TRNP1
chr1:27383957-27384315,NM_005281,GPR3
chr1:27400779-27401092,NM_006015;NM_139135,ARID1A
chr1:27414370-27414629,NM_022078,GPATCH3
chr1:27414370-27414629,NM_017837,PIGV
chr1:27462835-27462988,NM_006015;NM_139135,ARID1A
chr1:27462835-27462988,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27462835-27462988,NM_017837,PIGV
chr1:27462835-27462988,NM_003047,SLC9A1
chr1:27462835-27462988,NM_001201404;NM_006990,WASF2
chr1:27462835-27462988,NM_015023,WDTC1
chr1:27462835-27462988,NM_032283,ZDHHC18
chr1:27625914-27626081,NM_004672,MAP3K6
chr1:27625914-27626081,NM_032125,TMEM222
chr1:27625914-27626081,NM_001013642,TRNP1
chr1:27691785-27692261,NM_004672,MAP3K6
chr1:27691785-27692261,NM_032125,TMEM222
chr1:2772559-2772713,NM_001010926,HES5
chr1:27762936-27763307,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27762936-27763307,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27762936-27763307,NM_177424,STX12
chr1:27762936-27763307,NM_001201404;NM_006990,WASF2
chr1:27775351-27775365,NM_005281,GPR3
chr1:27848725-27849287,NM_001143912;NM_001143913;NM_001143914;NM_001143915;NM_152660,FAM76A
chr1:27848725-27849287,NM_001193308;NM_032872,SYTL1
chr1:27848725-27849287,NM_015023,WDTC1
chr1:27854575-27854919,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27854575-27854919,NM_001143912;NM_001143913;NM_001143914;NM_001143915;NM_152660,FAM76A
chr1:27854575-27854919,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27854575-27854919,NM_001193308;NM_032872,SYTL1
chr1:27916292-27916674,NM_001029882,AHDC1
chr1:27916292-27916674,NM_018053,XKR8
chr1:27924204-27924421,NM_001029882,AHDC1
chr1:27924204-27924421,NM_018053,XKR8
chr1:27935491-27936061,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27935491-27936061,NM_001990,EYA3
chr1:27935491-27936061,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27935491-27936061,NM_003047,SLC9A1
chr1:27935491-27936061,NM_001193308;NM_032872,SYTL1
chr1:27935491-27936061,NM_001201404;NM_006990,WASF2
chr1:27935491-27936061,NM_018053,XKR8
chr1:27957478-27958684,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27957478-27958684,NM_001990,EYA3
chr1:27957478-27958684,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27957478-27958684,NM_003047,SLC9A1
chr1:27957478-27958684,NM_177424,STX12
chr1:27957478-27958684,NM_001201404;NM_006990,WASF2
chr1:27957478-27958684,NM_018053,XKR8
chr1:27959966-27960344,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27959966-27960344,NM_001990,EYA3
chr1:27959966-27960344,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27959966-27960344,NM_003047,SLC9A1
chr1:27959966-27960344,NM_177424,STX12
chr1:27959966-27960344,NM_001201404;NM_006990,WASF2
chr1:27959966-27960344,NM_018053,XKR8
chr1:27963400-27963974,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27963400-27963974,NM_001990,EYA3
chr1:27963400-27963974,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27963400-27963974,NM_177424,STX12
chr1:27973679-27973995,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27973679-27973995,NM_001990,EYA3
chr1:27973679-27973995,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27973679-27973995,NM_177424,STX12
chr1:27976905-27977430,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27976905-27977430,NM_001990,EYA3
chr1:27976905-27977430,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27976905-27977430,NM_177424,STX12
chr1:27982664-27982914,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27982664-27982914,NM_001990,EYA3
chr1:27982664-27982914,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27982664-27982914,NM_177424,STX12
chr1:27985480-27985709,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27985480-27985709,NM_001990,EYA3
chr1:27985480-27985709,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27985480-27985709,NM_177424,STX12
chr1:27985869-27985982,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27985869-27985982,NM_001990,EYA3
chr1:27985869-27985982,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27985869-27985982,NM_177424,STX12
chr1:27986111-27986384,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:27986111-27986384,NM_001990,EYA3
chr1:27986111-27986384,NM_001143912;NM_001143913;NM_001143914;NM_001143915;NM_152660,FAM76A
chr1:27986111-27986384,NM_001042747;NM_001042729;NM_005248,FGR
chr1:27986111-27986384,NM_177424,STX12
chr1:27986111-27986384,NM_001193308;NM_032872,SYTL1
chr1:27986111-27986384,NM_001201404;NM_006990,WASF2
chr1:27986111-27986384,NM_018053,XKR8
chr1:28189568-28190269,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28189568-28190269,NM_001990,EYA3
chr1:28189568-28190269,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28189568-28190269,NM_001127350;NM_017638,MED18
chr1:28189568-28190269,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28189568-28190269,NM_031459,SESN2
chr1:28189568-28190269,NM_177424,STX12
chr1:28189568-28190269,NM_001201404;NM_006990,WASF2
chr1:28189568-28190269,NM_018053,XKR8
chr1:28190756-28191157,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28190756-28191157,NM_001990,EYA3
chr1:28190756-28191157,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28190756-28191157,NM_001127350;NM_017638,MED18
chr1:28190756-28191157,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28190756-28191157,NM_031459,SESN2
chr1:28190756-28191157,NM_177424,STX12
chr1:28190756-28191157,NM_001201404;NM_006990,WASF2
chr1:28190756-28191157,NM_018053,XKR8
chr1:28195628-28196024,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28195628-28196024,NM_001990,EYA3
chr1:28195628-28196024,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28195628-28196024,NM_001127350;NM_017638,MED18
chr1:28195628-28196024,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28195628-28196024,NM_031459,SESN2
chr1:28195628-28196024,NM_001201404;NM_006990,WASF2
chr1:28195628-28196024,NM_018053,XKR8
chr1:28201800-28202156,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28201800-28202156,NM_001990,EYA3
chr1:28201800-28202156,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28201800-28202156,NM_001127350;NM_017638,MED18
chr1:28201800-28202156,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28201800-28202156,NM_031459,SESN2
chr1:28201800-28202156,NM_177424,STX12
chr1:28201800-28202156,NM_001201404;NM_006990,WASF2
chr1:28201800-28202156,NM_018053,XKR8
chr1:28213825-28214033,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28213825-28214033,NM_001990,EYA3
chr1:28213825-28214033,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28213825-28214033,NM_001127350;NM_017638,MED18
chr1:28213825-28214033,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28213825-28214033,NM_031459,SESN2
chr1:28213825-28214033,NM_177424,STX12
chr1:28213825-28214033,NM_001201404;NM_006990,WASF2
chr1:28213825-28214033,NM_018053,XKR8
chr1:28238886-28239222,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28238886-28239222,NM_001990,EYA3
chr1:28238886-28239222,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28238886-28239222,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28238886-28239222,NM_031459,SESN2
chr1:28238886-28239222,NM_177424,STX12
chr1:28269913-28270209,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28269913-28270209,NM_001990,EYA3
chr1:28269913-28270209,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28269913-28270209,NM_001127350;NM_017638,MED18
chr1:28269913-28270209,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28269913-28270209,NM_031459,SESN2
chr1:28269913-28270209,NM_177424,STX12
chr1:28269913-28270209,NM_001201404;NM_006990,WASF2
chr1:28269913-28270209,NM_018053,XKR8
chr1:28305616-28305920,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28305616-28305920,NM_001990,EYA3
chr1:28305616-28305920,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28305616-28305920,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28305616-28305920,NM_031459,SESN2
chr1:28305616-28305920,NM_177424,STX12
chr1:28305616-28305920,NM_018053,XKR8
chr1:28318645-28318992,NM_001143912;NM_001143913;NM_001143914;NM_001143915;NM_152660,FAM76A
chr1:28416909-28416983,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28416909-28416983,NM_001990,EYA3
chr1:28416909-28416983,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28416909-28416983,NM_001127350;NM_017638,MED18
chr1:28416909-28416983,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28416909-28416983,NM_031459,SESN2
chr1:28416909-28416983,NM_177424,STX12
chr1:28416909-28416983,NM_018053,XKR8
chr1:28417819-28418026,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28417819-28418026,NM_014280,DNAJC8
chr1:28417819-28418026,NM_001990,EYA3
chr1:28417819-28418026,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28417819-28418026,NM_001127350;NM_017638,MED18
chr1:28417819-28418026,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28417819-28418026,NM_031459,SESN2
chr1:28417819-28418026,NM_177424,STX12
chr1:28431716-28431884,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28431716-28431884,NM_001990,EYA3
chr1:28431716-28431884,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28431716-28431884,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28431716-28431884,NM_031459,SESN2
chr1:28431716-28431884,NM_177424,STX12
chr1:28433172-28433306,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28433172-28433306,NM_014280,DNAJC8
chr1:28433172-28433306,NM_001990,EYA3
chr1:28433172-28433306,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28433172-28433306,NM_001127350;NM_017638,MED18
chr1:28433172-28433306,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28433172-28433306,NM_031459,SESN2
chr1:28433172-28433306,NM_177424,STX12
chr1:28434285-28434594,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28434285-28434594,NM_014280,DNAJC8
chr1:28434285-28434594,NM_001990,EYA3
chr1:28434285-28434594,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28434285-28434594,NM_001127350;NM_017638,MED18
chr1:28434285-28434594,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28434285-28434594,NM_031459,SESN2
chr1:28434285-28434594,NM_177424,STX12
chr1:28437098-28437429,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28437098-28437429,NM_014280,DNAJC8
chr1:28437098-28437429,NM_001990,EYA3
chr1:28437098-28437429,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28437098-28437429,NM_001127350;NM_017638,MED18
chr1:28437098-28437429,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28437098-28437429,NM_031459,SESN2
chr1:28437098-28437429,NM_177424,STX12
chr1:28437697-28438098,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28437697-28438098,NM_014280,DNAJC8
chr1:28437697-28438098,NM_001990,EYA3
chr1:28437697-28438098,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28437697-28438098,NM_001127350;NM_017638,MED18
chr1:28437697-28438098,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28437697-28438098,NM_031459,SESN2
chr1:28437697-28438098,NM_177424,STX12
chr1:28437697-28438098,NM_018053,XKR8
chr1:28439074-28439949,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28439074-28439949,NM_014280,DNAJC8
chr1:28439074-28439949,NM_001990,EYA3
chr1:28439074-28439949,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28439074-28439949,NM_001127350;NM_017638,MED18
chr1:28439074-28439949,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28439074-28439949,NM_031459,SESN2
chr1:28439074-28439949,NM_177424,STX12
chr1:28439074-28439949,NM_018053,XKR8
chr1:28440576-28440976,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28440576-28440976,NM_001990,EYA3
chr1:28440576-28440976,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28440576-28440976,NM_001127350;NM_017638,MED18
chr1:28440576-28440976,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28440576-28440976,NM_031459,SESN2
chr1:28440576-28440976,NM_177424,STX12
chr1:28449970-28450467,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28449970-28450467,NM_014280,DNAJC8
chr1:28449970-28450467,NM_001990,EYA3
chr1:28449970-28450467,NM_001042747;NM_001042729;NM_005248,FGR
chr1:28449970-28450467,NM_001127350;NM_017638,MED18
chr1:28449970-28450467,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28449970-28450467,NM_031459,SESN2
chr1:28449970-28450467,NM_177424,STX12
chr1:28449970-28450467,NM_018053,XKR8
chr1:28453663-28453991,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28453663-28453991,NM_014280,DNAJC8
chr1:28453663-28453991,NM_001990,EYA3
chr1:28453663-28453991,NM_005248,FGR
chr1:28453663-28453991,NM_001127350;NM_017638,MED18
chr1:28453663-28453991,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28453663-28453991,NM_031459,SESN2
chr1:28453663-28453991,NM_177424,STX12
chr1:28453663-28453991,NM_018053,XKR8
chr1:28454216-28454379,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28454216-28454379,NM_014280,DNAJC8
chr1:28454216-28454379,NM_001990,EYA3
chr1:28454216-28454379,NM_005248,FGR
chr1:28454216-28454379,NM_001127350;NM_017638,MED18
chr1:28454216-28454379,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28454216-28454379,NM_031459,SESN2
chr1:28454216-28454379,NM_177424,STX12
chr1:28454216-28454379,NM_018053,XKR8
chr1:28462161-28462385,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28462161-28462385,NM_001990,EYA3
chr1:28462161-28462385,NM_001143912;NM_001143913;NM_001143914;NM_001143915;NM_152660,FAM76A
chr1:28462161-28462385,NM_001127350;NM_017638,MED18
chr1:28462161-28462385,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28462161-28462385,NM_031459,SESN2
chr1:28462161-28462385,NM_177424,STX12
chr1:28462161-28462385,NM_018053,XKR8
chr1:28463413-28463582,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28463413-28463582,NM_014280,DNAJC8
chr1:28463413-28463582,NM_001990,EYA3
chr1:28463413-28463582,NM_001127350;NM_017638,MED18
chr1:28463413-28463582,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28463413-28463582,NM_031459,SESN2
chr1:28463413-28463582,NM_177424,STX12
chr1:28466458-28466562,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28466458-28466562,NM_014280,DNAJC8
chr1:28466458-28466562,NM_001990,EYA3
chr1:28466458-28466562,NM_001127350;NM_017638,MED18
chr1:28466458-28466562,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28466458-28466562,NM_031459,SESN2
chr1:28466458-28466562,NM_177424,STX12
chr1:28466458-28466562,NM_018053,XKR8
chr1:28481060-28481439,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28481060-28481439,NM_001990,EYA3
chr1:28481060-28481439,NM_001127350;NM_017638,MED18
chr1:28481060-28481439,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28481060-28481439,NM_031459,SESN2
chr1:28481060-28481439,NM_177424,STX12
chr1:28481060-28481439,NM_018053,XKR8
chr1:28483198-28483592,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28483198-28483592,NM_014280,DNAJC8
chr1:28483198-28483592,NM_001990,EYA3
chr1:28483198-28483592,NM_001127350;NM_017638,MED18
chr1:28483198-28483592,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28483198-28483592,NM_031459,SESN2
chr1:28483198-28483592,NM_177424,STX12
chr1:28483198-28483592,NM_018053,XKR8
chr1:28485616-28486049,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28485616-28486049,NM_014280,DNAJC8
chr1:28485616-28486049,NM_001990,EYA3
chr1:28485616-28486049,NM_001127350;NM_017638,MED18
chr1:28485616-28486049,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28485616-28486049,NM_031459,SESN2
chr1:28485616-28486049,NM_177424,STX12
chr1:28485616-28486049,NM_018053,XKR8
chr1:28486078-28486440,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28486078-28486440,NM_001990,EYA3
chr1:28486078-28486440,NM_001127350;NM_017638,MED18
chr1:28486078-28486440,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28486078-28486440,NM_031459,SESN2
chr1:28486078-28486440,NM_177424,STX12
chr1:28486078-28486440,NM_018053,XKR8
chr1:28487509-28487671,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28487509-28487671,NM_001990,EYA3
chr1:28487509-28487671,NM_001127350;NM_017638,MED18
chr1:28487509-28487671,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28487509-28487671,NM_031459,SESN2
chr1:28487509-28487671,NM_177424,STX12
chr1:28487509-28487671,NM_018053,XKR8
chr1:28495580-28496044,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28495580-28496044,NM_014280,DNAJC8
chr1:28495580-28496044,NM_001990,EYA3
chr1:28495580-28496044,NM_006582;NM_024482,GMEB1
chr1:28495580-28496044,NM_001127350;NM_017638,MED18
chr1:28495580-28496044,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28495580-28496044,NM_031459,SESN2
chr1:28495580-28496044,NM_177424,STX12
chr1:28496557-28496804,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28496557-28496804,NM_001990,EYA3
chr1:28496557-28496804,NM_006582;NM_024482,GMEB1
chr1:28496557-28496804,NM_001127350;NM_017638,MED18
chr1:28496557-28496804,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28496557-28496804,NM_031459,SESN2
chr1:28496557-28496804,NM_177424,STX12
chr1:28496557-28496804,NM_018053,XKR8
chr1:28500052-28500411,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28500052-28500411,NM_001990,EYA3
chr1:28500052-28500411,NM_006582;NM_024482,GMEB1
chr1:28500052-28500411,NM_001127350;NM_017638,MED18
chr1:28500052-28500411,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28500052-28500411,NM_031459,SESN2
chr1:28500052-28500411,NM_177424,STX12
chr1:28500052-28500411,NM_018053,XKR8
chr1:28576012-28576248,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28576012-28576248,NM_001990,EYA3
chr1:28576012-28576248,NM_006582;NM_024482,GMEB1
chr1:28576012-28576248,NM_001127350;NM_017638,MED18
chr1:28576012-28576248,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28576012-28576248,NM_031459,SESN2
chr1:28576012-28576248,NM_177424,STX12
chr1:28618110-28618271,NM_016311;NM_178190;NM_178191,ATPIF1
chr1:28640564-28640739,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28640564-28640739,NM_006582;NM_024482,GMEB1
chr1:28640564-28640739,NM_001127350;NM_017638,MED18
chr1:28640564-28640739,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28640564-28640739,NM_031459,SESN2
chr1:28640564-28640739,NM_001135218;NM_005644,TAF12
chr1:28640564-28640739,NM_018053,XKR8
chr1:28641770-28641993,NM_001039477;NM_001105556;NM_004848,C1orf38
chr1:28641770-28641993,NM_001990,EYA3
chr1:28641770-28641993,NM_006582;NM_024482,GMEB1
chr1:28641770-28641993,NM_001127350;NM_017638,MED18
chr1:28641770-28641993,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28641770-28641993,NM_031459,SESN2
chr1:28641770-28641993,NM_001135218;NM_005644,TAF12
chr1:28641770-28641993,NM_018053,XKR8
chr1:28752190-28752435,NM_001990,EYA3
chr1:28752190-28752435,NM_006582;NM_024482,GMEB1
chr1:28752190-28752435,NM_001127350;NM_017638,MED18
chr1:28752190-28752435,NM_000952;NM_001164723;NM_000952;NM_001164723,PTAFR
chr1:28752190-28752435,NM_031459,SESN2
chr1:28813874-28814267,NM_001990,EYA3
chr1:29101544-29101853,NM_001166006,EPB41
chr1:29195388-29195583,NM_000911,OPRD1
chr1:29214759-29214998,NM_001166005;NM_001166007;NM_004437;NM_203342;NM_203343,EPB41
chr1:29214759-29214998,NM_006582;NM_024482,GMEB1
chr1:29224369-29224479,NM_001166006,EPB41
chr1:29253461-29253677,NM_001166006,EPB41
chr1:29504261-29504387,NM_001166006,EPB41
chr1:29504261-29504387,NM_005626,SRSF4
chr1:29504261-29504387,NM_001173128;NM_016258;NM_001172828,YTHDF2
chr1:29565515-29565732,NM_001195001;NM_005704;NM_133177;NM_133178,PTPRU
chr1:29565515-29565732,NM_005626,SRSF4
chr1:29565762-29566055,NM_001195001;NM_005704;NM_133177;NM_133178,PTPRU
chr1:29565762-29566055,NM_005626,SRSF4
chr1:29683297-29683456,NM_001195001;NM_005704;NM_133177;NM_133178,PTPRU
chr1:29683297-29683456,NM_005626,SRSF4
chr1:2989176-2989511,NM_022114;NM_199454,PRDM16
chr1:3077832-3078221,NM_182752,TPRG1L
chr1:3086923-3087330,NM_022114;NM_199454,PRDM16
chr1:3111769-3111989,NM_022114;NM_199454,PRDM16
chr1:31216468-31217229,NM_006762,LAPTM5
chr1:31218107-31218539,NM_006762,LAPTM5
